"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 00:00","2024","12","01","00:00","-15.6","","-17.8","","83","","0.0","","34","","27","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 01:00","2024","12","01","01:00","-15.8","","-18.5","","80","","0.0","","33","","27","","","","","","","","-27","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 02:00","2024","12","01","02:00","-16.8","","-19.9","","77","","0.0","","33","","33","","","","","","","","-29","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 03:00","2024","12","01","03:00","-17.2","","-20.0","","79","","0.0","","32","","24","","","","","","","","-28","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 04:00","2024","12","01","04:00","-17.9","","-20.8","","78","","0.0","","33","","31","","","","","","","","-30","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 05:00","2024","12","01","05:00","-18.2","","-21.0","","79","","0.0","","33","","26","","","","","","","","-29","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 06:00","2024","12","01","06:00","-19.5","","-22.3","","78","","0.0","","34","","25","","","","","","","","-31","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 07:00","2024","12","01","07:00","-19.1","","-21.6","","80","","0.0","","32","","21","","","","","","","","-30","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 08:00","2024","12","01","08:00","-18.6","","-21.2","","80","","0.0","","34","","25","","","","","","","","-30","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 09:00","2024","12","01","09:00","-19.9","","-22.9","","77","","0.0","","30","","11","","","","","","","","-28","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 10:00","2024","12","01","10:00","-19.7","","-23.1","","74","","0.0","","31","","6","","","","","","","","-25","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 11:00","2024","12","01","11:00","-19.6","","-23.0","","75","","0.0","","31","","14","","","","","","","","-28","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 12:00","2024","12","01","12:00","-19.8","","-22.9","","76","","0.0","","30","","10","","","","","","","","-27","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 13:00","2024","12","01","13:00","-19.2","","-22.1","","78","","0.0","","32","","6","","","","","","","","-24","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 14:00","2024","12","01","14:00","-17.7","","-21.7","","71","","0.0","","35","","4","","","","","","","","-21","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 15:00","2024","12","01","15:00","-20.0","","-23.1","","76","","0.0","","4","","5","","","","","","","","-24","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 16:00","2024","12","01","16:00","-19.6","","-22.3","","79","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 17:00","2024","12","01","17:00","-19.5","","-21.8","","82","","0.0","","8","","6","","","","","","","","-24","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 18:00","2024","12","01","18:00","-19.2","","-21.6","","82","","0.0","","12","","9","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 19:00","2024","12","01","19:00","-20.0","","-22.1","","83","","0.0","","12","","7","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 20:00","2024","12","01","20:00","-20.9","","-22.9","","84","","0.0","","10","","5","","","","","","","","-25","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 21:00","2024","12","01","21:00","-21.7","","-23.8","","83","","0.0","","13","","5","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 22:00","2024","12","01","22:00","-21.1","","-23.2","","83","","0.0","","10","","7","","","","","","","","-27","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-01 23:00","2024","12","01","23:00","-20.3","","-22.3","","84","","0.0","","10","","10","","","","","","","","-28","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 00:00","2024","12","02","00:00","-19.7","","-21.7","","84","","0.0","","11","","7","","","","","","","","-25","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 01:00","2024","12","02","01:00","-19.4","","-21.5","","84","","0.0","","7","","9","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 02:00","2024","12","02","02:00","-18.5","","-20.7","","83","","0.0","","8","","11","","","","","","","","-26","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 03:00","2024","12","02","03:00","-18.3","","-20.4","","84","","0.0","","3","","7","","","","","","","","-24","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 04:00","2024","12","02","04:00","-17.8","","-19.8","","84","","0.0","","8","","7","","","","","","","","-23","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 05:00","2024","12","02","05:00","-18.5","","-20.4","","85","","0.0","","6","","5","","","","","","","","-23","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 06:00","2024","12","02","06:00","-19.0","","-20.8","","86","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 07:00","2024","12","02","07:00","-19.8","","-21.5","","86","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 08:00","2024","12","02","08:00","-19.5","","-21.3","","86","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 09:00","2024","12","02","09:00","-18.4","","-20.4","","85","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 10:00","2024","12","02","10:00","-16.5","","-18.8","","83","","0.0","","18","","5","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 11:00","2024","12","02","11:00","-15.9","","-18.6","","80","","0.0","","19","","7","","","","","","","","-21","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 12:00","2024","12","02","12:00","-15.4","","-18.1","","80","","0.0","","19","","10","","","","","","","","-22","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 13:00","2024","12","02","13:00","-14.9","","-17.7","","79","","0.0","","20","","9","","","","","","","","-21","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 14:00","2024","12","02","14:00","-14.1","","-17.3","","77","","0.0","","20","","10","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 15:00","2024","12","02","15:00","-13.5","","-16.3","","80","","0.0","","19","","13","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 16:00","2024","12","02","16:00","-14.7","","-17.2","","81","","0.0","","18","","13","","","","","","","","-22","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 17:00","2024","12","02","17:00","-15.0","","-17.1","","84","","0.0","","19","","7","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 18:00","2024","12","02","18:00","-13.9","","-16.2","","83","","0.0","","21","","16","","","","","","","","-22","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 19:00","2024","12","02","19:00","-13.3","","-15.8","","81","","0.0","","20","","9","","","","","","","","-19","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 20:00","2024","12","02","20:00","-11.8","","-14.7","","79","","0.0","","22","","11","","","","","","","","-18","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 21:00","2024","12","02","21:00","-14.0","","-16.4","","82","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 22:00","2024","12","02","22:00","-14.3","","-16.3","","85","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-02 23:00","2024","12","02","23:00","-12.8","","-15.2","","82","","0.0","","22","","3","","","","","","","","-15","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 00:00","2024","12","03","00:00","-13.8","","-16.2","","82","","0.0","","25","","9","","","","","","","","-19","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 01:00","2024","12","03","01:00","-10.2","","-12.5","","83","","0.0","","23","","6","","","","","","","","-14","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 02:00","2024","12","03","02:00","-9.3","","-11.9","","81","","0.0","","17","","5","","","","","","","","-12","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 03:00","2024","12","03","03:00","-5.2","","-9.3","","73","","0.0","","26","","8","","","","","","","","-9","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 04:00","2024","12","03","04:00","-3.2","","-8.7","","66","","0.0","","25","","5","","","","","","","","-5","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 05:00","2024","12","03","05:00","-3.5","","-8.1","","71","","0.0","","32","","12","","","","","","","","-8","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 06:00","2024","12","03","06:00","-3.6","","-8.6","","68","","0.0","","5","","5","","","","","","","","-6","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 07:00","2024","12","03","07:00","-2.3","","-7.4","","68","","0.0","","31","","9","","","","","","","","-6","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 08:00","2024","12","03","08:00","0.2","","-4.8","","69","","0.0","","29","","26","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 09:00","2024","12","03","09:00","0.7","","-4.0","","71","","0.0","","28","","25","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 10:00","2024","12","03","10:00","1.7","","-3.7","","67","","0.0","","28","","22","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 11:00","2024","12","03","11:00","3.2","","-1.7","","70","","0.0","","29","","19","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 12:00","2024","12","03","12:00","3.6","","-0.4","","75","","0.0","","30","","27","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 13:00","2024","12","03","13:00","4.1","","-0.3","","73","","0.0","","29","","21","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 14:00","2024","12","03","14:00","2.9","","-0.8","","77","","0.0","","27","","22","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 15:00","2024","12","03","15:00","2.4","","-0.9","","79","","0.0","","28","","25","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 16:00","2024","12","03","16:00","1.9","","-1.3","","80","","0.0","","29","","22","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 17:00","2024","12","03","17:00","1.1","","-1.6","","82","","0.0","","28","","22","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 18:00","2024","12","03","18:00","1.2","","-1.5","","82","","0.0","","30","","23","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 19:00","2024","12","03","19:00","2.2","","-0.6","","82","","0.0","","32","","29","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 20:00","2024","12","03","20:00","2.5","","-0.2","","82","","0.0","","34","","29","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 21:00","2024","12","03","21:00","1.8","","0.0","","88","","0.0","","32","","16","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 22:00","2024","12","03","22:00","1.1","","-0.1","","91","","0.0","","33","","17","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-03 23:00","2024","12","03","23:00","-1.0","","-2.5","","90","","0.0","","36","","18","","","","","","","","-6","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 00:00","2024","12","04","00:00","-3.2","","-4.7","","90","","0.0","","1","","21","","","","","","","","-9","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 01:00","2024","12","04","01:00","-4.4","","-6.3","","86","","0.0","","36","","23","","","","","","","","-11","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 02:00","2024","12","04","02:00","-5.3","","-6.7","","90","","0.0","","36","","19","","","","","","","","-12","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 03:00","2024","12","04","03:00","-7.2","","-9.1","","86","","0.0","","1","","25","","","","","","","","-15","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 04:00","2024","12","04","04:00","-7.9","","-9.9","","86","","0.0","","3","","22","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 05:00","2024","12","04","05:00","-9.1","","-11.0","","87","","0.0","","2","","18","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 06:00","2024","12","04","06:00","-9.8","","-12.1","","83","","0.0","","3","","15","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 07:00","2024","12","04","07:00","-10.2","","-12.8","","82","","0.0","","3","","14","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 08:00","2024","12","04","08:00","-10.5","","-12.8","","84","","0.0","","4","","13","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 09:00","2024","12","04","09:00","-10.9","","-13.7","","80","","0.0","","7","","12","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 10:00","2024","12","04","10:00","-10.9","","-13.5","","81","","0.0","","8","","12","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 11:00","2024","12","04","11:00","-10.5","","-13.4","","79","","0.0","","9","","14","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 12:00","2024","12","04","12:00","-10.8","","-13.9","","78","","0.0","","11","","9","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 13:00","2024","12","04","13:00","-10.4","","-13.6","","78","","0.0","","11","","11","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 14:00","2024","12","04","14:00","-10.5","","-13.6","","77","","0.0","","10","","13","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 15:00","2024","12","04","15:00","-10.7","","-14.0","","77","","0.0","","10","","16","","","","","","","","-18","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 16:00","2024","12","04","16:00","-11.2","","-13.9","","81","","0.0","","11","","17","","","","","","","","-19","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 17:00","2024","12","04","17:00","-11.7","","-13.4","","87","","0.0","","11","","18","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 18:00","2024","12","04","18:00","-11.9","","-13.4","","89","","0.0","","11","","17","","","","","","","","-20","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 19:00","2024","12","04","19:00","-11.8","","-13.6","","86","","0.0","","11","","15","","","","","","","","-19","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 20:00","2024","12","04","20:00","-11.4","","-13.5","","84","","0.0","","13","","13","","","","","","","","-18","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 21:00","2024","12","04","21:00","-11.0","","-12.9","","85","","0.0","","13","","9","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 22:00","2024","12","04","22:00","-10.6","","-12.5","","86","","0.0","","8","","7","","","","","","","","-15","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-04 23:00","2024","12","04","23:00","-11.7","","-13.2","","89","","0.0","","14","","10","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 00:00","2024","12","05","00:00","-13.1","","-14.2","","91","","0.0","","1","","4","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 01:00","2024","12","05","01:00","-11.3","","-12.3","","93","","0.0","","22","","5","","","","","","","","-14","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 02:00","2024","12","05","02:00","-10.3","","-11.7","","89","","0.0","","19","","14","","","","","","","","-17","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 03:00","2024","12","05","03:00","-9.1","","-11.0","","86","","0.0","","22","","17","","","","","","","","-16","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 04:00","2024","12","05","04:00","-10.0","","-11.7","","87","","0.0","","21","","7","","","","","","","","-14","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 05:00","2024","12","05","05:00","-10.0","","-11.5","","89","","0.0","","16","","3","","","","","","","","-12","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 06:00","2024","12","05","06:00","-9.6","","-11.4","","87","","0.0","","20","","4","","","","","","","","-12","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 07:00","2024","12","05","07:00","-9.8","","-10.6","","94","","0.0","","22","","11","","","","","","","","-15","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 08:00","2024","12","05","08:00","-7.5","","-8.7","","91","","0.0","","26","","11","","","","","","","","-13","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 09:00","2024","12","05","09:00","-6.8","","-8.3","","89","","0.0","","24","","6","","","","","","","","-10","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 10:00","2024","12","05","10:00","-5.9","","-8.2","","83","","0.0","","23","","10","","","","","","","","-10","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 11:00","2024","12","05","11:00","-4.3","","-7.0","","81","","0.0","","24","","20","","","","","","","","-11","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 12:00","2024","12","05","12:00","-3.3","","-6.5","","79","","0.0","","23","","10","","","","","","","","-7","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 13:00","2024","12","05","13:00","-1.4","","-4.9","","77","","0.0","","26","","10","","","","","","","","-5","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 14:00","2024","12","05","14:00","-1.8","","-5.3","","77","","0.0","","25","","16","","","","","","","","-7","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 15:00","2024","12","05","15:00","-1.6","","-5.4","","75","","0.0","","22","","9","","","","","","","","-5","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 16:00","2024","12","05","16:00","-2.5","","-5.3","","81","","0.0","","24","","10","","","","","","","","-6","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 17:00","2024","12","05","17:00","-3.5","","-5.9","","83","","0.0","","29","","14","","","","","","","","-9","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 18:00","2024","12","05","18:00","-5.6","","-7.4","","87","","0.0","","12","","4","","","","","","","","-7","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 19:00","2024","12","05","19:00","-4.8","","-6.4","","88","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 20:00","2024","12","05","20:00","-6.4","","-8.0","","88","","0.0","","","","0","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 21:00","2024","12","05","21:00","-5.1","","-6.4","","91","","0.0","","22","","5","","","","","","","","-7","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 22:00","2024","12","05","22:00","0.1","","-2.3","","84","","0.0","","25","","19","","","","","","","","","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-05 23:00","2024","12","05","23:00","-4.6","","-6.6","","86","","0.0","","5","","7","","","","","","","","-8","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-06 00:00","2024","12","06","00:00","-1.4","","-2.7","","91","","0.0","","21","","5","","","","","","","","-3","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-06 01:00","2024","12","06","01:00","-0.4","","-3.1","","82","","0.0","","21","","10","","","","","","","","-4","","NA"
"-110.32","51.07","ACADIA VALLEY","3020035","2024-12-06 02:00","2024","12","06","02:00","0.6","","-2.0","","82","","0.0","","27","","24","","","","","","","","","","NA"
